opname, reads, writes, args,page,,,,,,,,,,,
ui32_to_f32_mem32,loc,rah,loc: LOC32  rah: RH,page 139,,,,,,,,,,,
ui32_to_f32_tworh,rah,rbh,rah: RH  rbh: RH,page 140,,,,,,,,,,,
zero,,rah,rah: card(3),page 141,,,,,,,,,,,
zero_a,,R0H R1H R2H R3H R4H R5H R6H R7H,,page 142,,,,,,,,,,,
divf32_threerh,rbh rch,rah,rah: RH  rbh: RH  rch: RH,page 785,,,,,,,,,,,
mpy2pif32,rbh,rah,rah: RH  rbh: RH,page 783,,,,,,,,,,,
div2pif32,rbh,rah,rah: RH  rbh: RH,page 784,,,,,,,,,,,
sqrtf32,rbh,rah,rah: RH  rbh: RH,page 787,,,,,,,,,,,
sinpuf32,rbh,rah,rah: RH  rbh: RH,page 788,,,,,,,,,,,
cospuf32,rbh,rah,rah: RH  rbh: RH,page 790,,,,,,,,,,,
atanpuf32,rbh,rah,rah: RH  rbh: RH,page 792,,,,,,,,,,,
quadf32,rah rbh rch rdh,rah rbh rch rdh,rah: RH  rbh: RH  rch: RH  rdh: RH,page 793,,,,,,,,,,,
iexp2f32,rbh,rah,rah: RH  rbh: RH,page 797,,,,,,,,,,,
log2f32,rbh,rah,rah: RH  rbh: RH,Page 798,,,,,,,,,,,
